WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000089552,urn:lsid:ipni.org:names:77378758-1,Araceae,Anthurium giuliettiae,Camelo & Nadruz,Taxon 75(2)-e70134: 6. 2026 [7 Apr 2026] ,Anthurium,,,
wfo-1000089556,urn:lsid:ipni.org:names:77378869-1,Euphorbiaceae,Tragia acahualicola,Urtecho,J. Bot. Res. Inst. Texas 20(1): 47. 2026 [15 Apr 2026] ,Tragia,,,
wfo-1000089560,urn:lsid:ipni.org:names:77378875-1,Balsaminaceae,Impatiens kennedyensis,S.Akiyama & Nob.Tanaka,"Bull. Natl. Mus. Nat. Sci., Tokyo, B. 51(4): 158. 2025 [25 Nov 2025] ",Impatiens,,,
wfo-1000089574,urn:lsid:ipni.org:names:77378890-1,Burmanniaceae,Thismia sect. Labiothismia,J.J.Sm.,"Bull. Jard. Bot. Buitenzorg sér. 3, 9: 221. 1927 [Nov 1927] ",Thismia,,,
wfo-1000089632,urn:lsid:ipni.org:names:77378955-1,Moraceae,Ficus cuscoensis,Reynel,Nuevas Especies Ficus Reg. Andina 29. 2026 [15 Mar 2026] ,Ficus,,,
wfo-1000089633,urn:lsid:ipni.org:names:77378957-1,Escalloniaceae,Argophyllum sect. Dolichocalyx,Zemann,"Ann. K. K. Naturhist. Hofmus. 22: 280, 284. 1907 ",Argophyllum,,,
wfo-1000089635,urn:lsid:ipni.org:names:77378960-1,Moraceae,Ficus maynensis,Reynel,Nuevas Especies Ficus Reg. Andina 42. 2026 [15 Mar 2026] ,Ficus,,,
wfo-1200118314,urn:lsid:ipni.org:names:77378964-1,Parnassiaceae,Parnassia sect. Luteae,(T.C.Ku) D.Wu & D.Z.Li,PhytoKeys 273: 247. 2026 [23 Apr 2026] ,Parnassia,,Parnassiaceae Parnassia ser. Luteae T.C.Ku,(T.C.Ku)
wfo-1000089638,urn:lsid:ipni.org:names:77378965-1,Parnassiaceae,Parnassia sect. Longifolia,D.Wu & D.Z.Li,PhytoKeys 273: 247. 2026 [23 Apr 2026] ,Parnassia,,,
wfo-1000089639,urn:lsid:ipni.org:names:77378966-1,Parnassiaceae,Parnassia subsect. Longiloba,D.Wu & D.Z.Li,PhytoKeys 273: 247. 2026 [23 Apr 2026] ,Parnassia,,,
wfo-1200118315,urn:lsid:ipni.org:names:77378968-1,Parnassiaceae,Parnassia subsect. Fimbripetalum,(Drude) D.Wu & D.Z.Li,PhytoKeys 273: 248. 2026 [23 Apr 2026] ,Parnassia,,Parnassiaceae Parnassia sect. Fimbripetalum Drude,(Drude)
wfo-1000089641,urn:lsid:ipni.org:names:77378969-1,Araliaceae,Heptapleurum khoonmengii,T.J.Barkman & Puad,Sandakania 27: 264. 2025 [31 Dec 2025] ,Heptapleurum,,,
wfo-1000089642,urn:lsid:ipni.org:names:77378970-1,Moraceae,Ficus ocolensis,Reynel & R.Y.Rivera,Nuevas Especies Ficus Reg. Andina 55. 2026 [15 Mar 2026] ,Ficus,,,
wfo-1000089643,urn:lsid:ipni.org:names:77378971-1,Moraceae,Ficus pampafloridensis,Reynel,Nuevas Especies Ficus Reg. Andina 71. 2026 [15 Mar 2026] ,Ficus,,,
wfo-1000089644,urn:lsid:ipni.org:names:77378972-1,Moraceae,Ficus pseudobtusifolia,Reynel,Nuevas Especies Ficus Reg. Andina 84. 2026 [15 Mar 2026] ,Ficus,,,
wfo-1000089645,urn:lsid:ipni.org:names:77378973-1,Myristicaceae,Myristica khoonmengiana,Duyfjes,Sandakania 27: 272. 2025 [31 Dec 2025] ,Myristica,,,
wfo-1000089646,urn:lsid:ipni.org:names:77378974-1,Myristicaceae,Myristica takeuchii,Duyfjes,Sandakania 27: 273. 2025 [31 Dec 2025] ,Myristica,,,
wfo-1000089647,urn:lsid:ipni.org:names:77378975-1,Moraceae,Ficus pulanensis,Reynel & Albán,Nuevas Especies Ficus Reg. Andina 99. 2026 [15 Mar 2026] ,Ficus,,,
wfo-1000089648,urn:lsid:ipni.org:names:77378976-1,Moraceae,Ficus shimabenzoana,Reynel & Marcelo-Peña,Nuevas Especies Ficus Reg. Andina 113. 2026 [15 Mar 2026] ,Ficus,,,
wfo-1000089649,urn:lsid:ipni.org:names:77378977-1,Moraceae,Ficus yasuniensis,Reynel,Nuevas Especies Ficus Reg. Andina 126. 2026 [15 Mar 2026] ,Ficus,,,
wfo-1200118316,urn:lsid:ipni.org:names:77378979-1,Ranunculaceae,Oxygraphis sikkimensis,(W.W.Sm.) W.He Li & L.Xie,Ecol. Evol. 15(10)-e72306: 8. 2025 [10 Oct 2025] ,Oxygraphis,,Ranunculaceae Paroxygraphis sikkimensis W.W.Sm.,(W.W.Sm.)
wfo-4100006530,urn:lsid:ipni.org:names:77378980-1,Cryptocaulaceae,Cryptocaulaceae,"Sundue, T.Fujiw., Limpan. & L.Y.Kuo",J. Pl. Res. 139[early view]: [12 of 19]. 2026 [17 Apr 2026] ,,,,
wfo-4100006531,urn:lsid:ipni.org:names:77378981-1,Cryptocaulaceae,Cryptocaulon,"Vongthavone, Tagane, Sundue & T.Fujiw.",J. Pl. Res. 139[early view]: [12 of 19]. 2026 [17 Apr 2026] ,Cryptocaulon,,,
wfo-1000089650,urn:lsid:ipni.org:names:77378983-1,Araceae,Sarawakia khoonmengiana,S.Y.Wong & P.C.Boyce,Sandakania 27: 278. 2025 [31 Dec 2025] ,Sarawakia,,,
wfo-1000089651,urn:lsid:ipni.org:names:77378985-1,Bromeliaceae,Encholirium deodorinae,S.E.Martins & K.-H.Tank,Phytotaxa 752(2): 89. 2026 [22 Apr 2026] ,Encholirium,,,
wfo-1000089652,urn:lsid:ipni.org:names:77378986-1,Eriocaulaceae,Leiothrix chapadensis,Giul.,Phytotaxa 752(2): 107. 2026 [22 Apr 2026] ,Leiothrix,,,
wfo-1000089656,urn:lsid:ipni.org:names:77378990-1,Eriocaulaceae,Leiothrix montana,Giul.,Phytotaxa 752(2): 111. 2026 [22 Apr 2026] ,Leiothrix,,,
wfo-1000089661,urn:lsid:ipni.org:names:77378995-1,Eriocaulaceae,Leiothrix sincorensis,M.T.C.Watan. & Giul.,Phytotaxa 752(2): 113. 2026 [22 Apr 2026] ,Leiothrix,,,
wfo-1000089664,urn:lsid:ipni.org:names:77378998-1,Cryptocaulaceae,Cryptocaulon tenerifrons,"(Hook.) Limpan., Yoneoka, Ebihara & L.Y.Kuo",J. Pl. Res. 139[early view]: [14 of 19]. 2026 [17 Apr 2026] ,Cryptocaulon,,Polypodiaceae Polypodium tenerifrons Hook.,(Hook.)
wfo-1000089670,urn:lsid:ipni.org:names:77379004-1,Apiaceae,Ligusticopsis ramosa,Kljuykov,Phytotaxa 751(3): 255. 2026 [16 Apr 2026] ,Ligusticopsis,,,
wfo-1000089671,urn:lsid:ipni.org:names:77379005-1,Apiaceae,Ligusticopsis rubricaulis,Kljuykov,Phytotaxa 751(3): 261. 2026 [16 Apr 2026] ,Ligusticopsis,,,
wfo-1000089674,urn:lsid:ipni.org:names:77379009-1,Bombacaceae,Quararibea latifolia,C.D.M.Ferreira & Bovini,Phytotaxa 751(3): 296. 2026 [16 Apr 2026] ,Quararibea,,,
wfo-1000089675,urn:lsid:ipni.org:names:77379013-1,Asclepiadaceae,Hoya daoi,Lei Cai & Yang Liu ter,Pl. Syst. Evol. 312(3)-19: 5. 2026 [22 Apr 2026] ,Hoya,,,
wfo-1000089676,urn:lsid:ipni.org:names:77379015-1,Asclepiadaceae,Hoya maguanensis,"Lei Cai, Yang Liu ter & J.D.Ya",Pl. Syst. Evol. 312(3)-19: 8. 2026 [22 Apr 2026] ,Hoya,,,
wfo-1200118318,urn:lsid:ipni.org:names:77379116-1,Parnassiaceae,Parnassia sect. Fimbripetalum,Drude,Linnaea 39: 302. 1875 ,Parnassia,,,
