WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000087509,urn:lsid:ipni.org:names:77374788-1,Araceae,Anthurium tenuilaminum,Enik. & Croat,Aroideana 48(3): 62. 2025 [23 Dec 2025] [epublished],Anthurium,,,
wfo-1000087510,urn:lsid:ipni.org:names:77374789-1,Araceae,Anthurium obtusicataphyllum,"Croat, Enik. & Loayza",Aroideana 48(3): 71. 2025 [23 Dec 2025] [epublished],Anthurium,,,
wfo-1000087511,urn:lsid:ipni.org:names:77374790-1,Araceae,Anthurium chlorinum,Croat,Aroideana 48(3): 99. 2025 [23 Dec 2025] [epublished],Anthurium,,,
wfo-1000087520,urn:lsid:ipni.org:names:77374799-1,Araceae,Anthurium christophiae,Croat,Aroideana 48(3): 104. 2025 [23 Dec 2025] [epublished],Anthurium,,,
wfo-1000087523,urn:lsid:ipni.org:names:77374802-1,Araceae,Anthurium citriodorum,Croat,Aroideana 48(3): 111. 2025 [23 Dec 2025] [epublished],Anthurium,,,
wfo-1000087539,urn:lsid:ipni.org:names:77374818-1,Araceae,Anthurium clariceguaniae,Croat,Aroideana 48(3): 114. 2025 [23 Dec 2025] [epublished],Anthurium,nom. inval.    Contrary to Art. 40.5. ICN (2025). No single institution in which the type is conserved was specified (two institutions cited).,,
wfo-1000087541,urn:lsid:ipni.org:names:77374821-1,Verbenaceae,Stachytarpheta forzzae,P.H.Cardoso & Salimena,Nordic J. Bot. 2026(x)-e05128: 3. 2025 [6 Dec 2025] [epublished],Stachytarpheta,,,
wfo-1200116563,urn:lsid:ipni.org:names:77374825-1,Lamiaceae,Dysophylla auricularia var. montana,Ridl.,J. Malayan Branch Roy. Asiat. Soc. 1(no. 87): 85. 1923 [Apr 1923] ,Dysophylla,,,
wfo-1200116660,urn:lsid:ipni.org:names:77374960-1,Lecythidaceae,Barringtonia inclyta,(Miers) Ridl.,J. Straits Branch Roy. Asiat. Soc. 33: 83. 1900 ,Barringtonia,,Lecythidaceae Butonica inclyta Miers,(Miers)
wfo-1000087573,urn:lsid:ipni.org:names:77374961-1,Araceae,Colocasia sookchaloemiae,Chatan & Promprom,PhytoKeys 269: 132. 2026 [13 Jan 2026] [epublished],Colocasia,,,
wfo-1000087575,urn:lsid:ipni.org:names:77374963-1,Lamiaceae,Clerodendrum kelli,"R.Bustam., A.B.Tobias & Ples",Gard. Bull. Singapore 77(2): 227. 2025 [Nov 2025] [epublished],Clerodendrum,,,
wfo-1000086572,urn:lsid:ipni.org:names:77374966-1,Asclepiadaceae,Hoya dawodiensis,"Sahani, Rodda, Pertin & Chowlu",Gard. Bull. Singapore 77(2): 270. 2025 [Nov 2025] [epublished],Hoya,,,
wfo-1000087579,urn:lsid:ipni.org:names:77374968-1,Capparaceae,Capparis rupicola,Fici & Sy,Blumea 69(3): 271. 2025 [2024 publ. 17 Oct 2025] [epublished],Capparis,,,
wfo-1200116661,urn:lsid:ipni.org:names:77374971-1,Betulaceae,Alnus communis,Mirb.,"Traité Arbr. Arbust. (Duhamel), nouv. éd. 2: 212, t. 64. 1804 ",Alnus,,,
wfo-1000087581,urn:lsid:ipni.org:names:77374978-1,Rosaceae,Malus calvillea,Desf. ex Laun.,Bon Jard. 1806: 124. ,Malus,,,
wfo-1200116663,urn:lsid:ipni.org:names:77374979-1,Lecythidaceae,Barringtonia butonica,Cuzent,Tahiti [Cuzent] 213. 1860 ,Barringtonia,,,
wfo-1200116664,urn:lsid:ipni.org:names:77374982-1,Lamiaceae,Thymus striatus subsp. interruptus,(Jalas) Bartolucci,Willdenowia 55(1): 302. 2025 [3 Sep 2025] [epublished],Thymus,,Lamiaceae Thymus striatus Vahl var. interruptus Jalas,(Jalas)
